25-08-17 01:10:06:243 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
25-08-17 01:10:06:265 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
25-08-17 01:10:06:268 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: JournalAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
25-08-17 01:10:06:502 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalAppApplication for test class net.engineeringdigest.journalApp.JournalAppApplicationTests
25-08-17 01:10:06:686 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
25-08-17 01:10:06:719 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3fb6cf60, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@37ddb69a, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@349c1daf, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@dfddc9a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4b9df8a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5e8ac0e1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@aafcffa, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6955cb39, org.springframework.test.context.event.EventPublishingTestExecutionListener@235a0c16, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2b5f4d54, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5f7b97da, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@18b0930f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b7906b3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3a1dd365, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@395b56bb]
25-08-17 01:10:07:348 [main] INFO  n.e.j.JournalAppApplicationTests - Starting JournalAppApplicationTests using Java 21.0.8 on v2mumlp0655 with PID 21964 (started by jayesh.patil in D:\journalApp)
25-08-17 01:10:07:349 [main] DEBUG n.e.j.JournalAppApplicationTests - Running with Spring Boot v2.7.18, Spring v5.3.31
25-08-17 01:10:07:351 [main] INFO  n.e.j.JournalAppApplicationTests - The following 1 profile is active: "dev"
25-08-17 01:10:08:478 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
25-08-17 01:10:08:634 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 142 ms. Found 3 MongoDB repository interfaces.
